id_assessment,id_student,date_submitted,is_banked,score,code_module,code_presentation,assessment_type,date,weight
1752,11391,18,0,78,AAA,2013J,TMA,19.0,10.0
1752,28400,22,0,70,AAA,2013J,TMA,19.0,10.0
1752,31604,17,0,72,AAA,2013J,TMA,19.0,10.0
1752,32885,26,0,69,AAA,2013J,TMA,19.0,10.0
1752,38053,19,0,79,AAA,2013J,TMA,19.0,10.0
1752,45462,20,0,70,AAA,2013J,TMA,19.0,10.0
1752,45642,18,0,72,AAA,2013J,TMA,19.0,10.0
1752,52130,19,0,72,AAA,2013J,TMA,19.0,10.0
1752,53025,9,0,71,AAA,2013J,TMA,19.0,10.0
1752,57506,18,0,68,AAA,2013J,TMA,19.0,10.0
1752,58873,19,0,73,AAA,2013J,TMA,19.0,10.0
1752,59185,18,0,67,AAA,2013J,TMA,19.0,10.0
1752,62155,17,0,73,AAA,2013J,TMA,19.0,10.0
1752,63400,19,0,83,AAA,2013J,TMA,19.0,10.0
1752,65002,17,0,66,AAA,2013J,TMA,19.0,10.0
1752,70464,19,0,59,AAA,2013J,TMA,19.0,10.0
1752,71361,19,0,82,AAA,2013J,TMA,19.0,10.0
1752,74372,22,0,60,AAA,2013J,TMA,19.0,10.0
1752,75091,18,0,67,AAA,2013J,TMA,19.0,10.0
1752,77367,18,0,73,AAA,2013J,TMA,19.0,10.0
1752,91265,21,0,75,AAA,2013J,TMA,19.0,10.0
1752,94961,17,0,74,AAA,2013J,TMA,19.0,10.0
1752,98094,18,0,62,AAA,2013J,TMA,19.0,10.0
1752,100893,17,0,63,AAA,2013J,TMA,19.0,10.0
1752,101781,16,0,84,AAA,2013J,TMA,19.0,10.0
1752,102806,19,0,80,AAA,2013J,TMA,19.0,10.0
1752,102952,19,0,76,AAA,2013J,TMA,19.0,10.0
1752,104476,30,0,85,AAA,2013J,TMA,19.0,10.0
1752,106247,32,0,67,AAA,2013J,TMA,19.0,10.0
1752,106577,18,0,57,AAA,2013J,TMA,19.0,10.0
1752,110175,18,0,66,AAA,2013J,TMA,19.0,10.0
1752,111717,10,0,80,AAA,2013J,TMA,19.0,10.0
1752,113295,19,0,81,AAA,2013J,TMA,19.0,10.0
1752,114017,18,0,66,AAA,2013J,TMA,19.0,10.0
1752,114999,18,0,74,AAA,2013J,TMA,19.0,10.0
1752,116541,19,0,76,AAA,2013J,TMA,19.0,10.0
1752,116692,16,0,72,AAA,2013J,TMA,19.0,10.0
1752,118983,19,0,73,AAA,2013J,TMA,19.0,10.0
1752,123044,25,0,75,AAA,2013J,TMA,19.0,10.0
1752,127582,26,0,69,AAA,2013J,TMA,19.0,10.0
1752,129955,18,0,85,AAA,2013J,TMA,19.0,10.0
1752,132976,18,0,63,AAA,2013J,TMA,19.0,10.0
1752,134143,18,0,87,AAA,2013J,TMA,19.0,10.0
1752,135400,19,0,72,AAA,2013J,TMA,19.0,10.0
1752,137873,15,0,72,AAA,2013J,TMA,19.0,10.0
1752,141355,19,0,77,AAA,2013J,TMA,19.0,10.0
1752,141377,54,0,45,AAA,2013J,TMA,19.0,10.0
1752,142326,17,0,65,AAA,2013J,TMA,19.0,10.0
1752,144801,19,0,61,AAA,2013J,TMA,19.0,10.0
1752,145130,19,0,75,AAA,2013J,TMA,19.0,10.0
1752,146188,19,0,52,AAA,2013J,TMA,19.0,10.0
1752,147756,18,0,77,AAA,2013J,TMA,19.0,10.0
1752,147793,32,0,52,AAA,2013J,TMA,19.0,10.0
1752,148993,25,0,68,AAA,2013J,TMA,19.0,10.0
1752,151358,17,0,54,AAA,2013J,TMA,19.0,10.0
1752,155550,19,0,75,AAA,2013J,TMA,19.0,10.0
1752,155854,18,0,82,AAA,2013J,TMA,19.0,10.0
1752,155984,19,0,85,AAA,2013J,TMA,19.0,10.0
1752,157568,18,0,79,AAA,2013J,TMA,19.0,10.0
1752,159954,19,0,65,AAA,2013J,TMA,19.0,10.0
1752,164259,18,0,82,AAA,2013J,TMA,19.0,10.0
1752,167906,19,0,60,AAA,2013J,TMA,19.0,10.0
1752,168936,19,0,76,AAA,2013J,TMA,19.0,10.0
1752,172112,19,0,60,AAA,2013J,TMA,19.0,10.0
1752,172797,18,0,60,AAA,2013J,TMA,19.0,10.0
1752,174782,17,0,83,AAA,2013J,TMA,19.0,10.0
1752,175392,16,0,85,AAA,2013J,TMA,19.0,10.0
1752,175932,18,0,76,AAA,2013J,TMA,19.0,10.0
1752,175991,15,0,51,AAA,2013J,TMA,19.0,10.0
1752,180753,18,0,61,AAA,2013J,TMA,19.0,10.0
1752,181316,20,0,76,AAA,2013J,TMA,19.0,10.0
1752,183096,19,0,57,AAA,2013J,TMA,19.0,10.0
1752,183947,19,0,67,AAA,2013J,TMA,19.0,10.0
1752,184271,18,0,65,AAA,2013J,TMA,19.0,10.0
1752,185439,24,0,74,AAA,2013J,TMA,19.0,10.0
1752,186149,33,0,85,AAA,2013J,TMA,19.0,10.0
1752,187100,17,0,88,AAA,2013J,TMA,19.0,10.0
1752,188278,19,0,76,AAA,2013J,TMA,19.0,10.0
1752,189879,19,0,76,AAA,2013J,TMA,19.0,10.0
1752,192183,19,0,75,AAA,2013J,TMA,19.0,10.0
1752,200860,18,0,69,AAA,2013J,TMA,19.0,10.0
1752,202635,27,0,68,AAA,2013J,TMA,19.0,10.0
1752,205350,19,0,75,AAA,2013J,TMA,19.0,10.0
1752,205719,19,0,67,AAA,2013J,TMA,19.0,10.0
1752,227499,19,0,84,AAA,2013J,TMA,19.0,10.0
1752,227517,18,0,63,AAA,2013J,TMA,19.0,10.0
1752,228082,19,0,58,AAA,2013J,TMA,19.0,10.0
1752,228222,19,0,71,AAA,2013J,TMA,19.0,10.0
1752,229179,19,0,64,AAA,2013J,TMA,19.0,10.0
1752,229361,18,0,81,AAA,2013J,TMA,19.0,10.0
1752,231554,19,0,80,AAA,2013J,TMA,19.0,10.0
1752,235507,18,0,65,AAA,2013J,TMA,19.0,10.0
1752,236284,23,0,85,AAA,2013J,TMA,19.0,10.0
1752,238007,19,0,83,AAA,2013J,TMA,19.0,10.0
1752,240712,19,0,82,AAA,2013J,TMA,19.0,10.0
1752,240884,18,0,74,AAA,2013J,TMA,19.0,10.0
1752,241649,16,0,85,AAA,2013J,TMA,19.0,10.0
1752,241729,19,0,51,AAA,2013J,TMA,19.0,10.0
1752,242793,18,0,66,AAA,2013J,TMA,19.0,10.0
1752,246834,18,0,60,AAA,2013J,TMA,19.0,10.0
